sample_id,day,channel,batch_id,operator,pressure_group,true_pressure_mmhg,true_flow_lmin,channel_pressure_bias,channel_flow_bias,drift_pressure,drift_flow,ext_pressure_mmhg,eol_pressure_mmhg,ext_flow_lmin,eol_flow_lmin,reference_decision,eol_decision,false_pass,false_fail,pressure_bias,flow_bias
S093,2,4,B02,Op_A,failed,48.06,0.212,0.1,0.02,0.0,0.0,48.25,47.82,0.223,0.251,Fail,Fail,0,0,-0.43,0.028
S094,2,4,B02,Op_C,good,60.33,0.077,0.1,0.02,0.0,0.0,60.04,60.58,0.088,0.081,Pass,Pass,0,0,0.54,-0.007
S095,2,4,B02,Op_A,good,62.51,0.105,0.1,0.02,0.0,0.0,62.31,63.16,0.091,0.065,Pass,Pass,0,0,0.85,-0.026
S096,2,4,B02,Op_A,good,60.58,0.079,0.1,0.02,0.0,0.0,60.44,60.28,0.101,0.081,Pass,Pass,0,0,-0.16,-0.02
S097,3,1,B03,Op_A,borderline,54.03,0.199,0.0,0.0,0.0,0.0,53.8,55.45,0.192,0.219,Fail,Pass,1,0,1.65,0.027
S098,3,1,B03,Op_C,borderline,55.03,0.112,0.0,0.0,0.0,0.0,54.32,53.8,0.111,0.089,Pass,Fail,0,1,-0.52,-0.022
S099,3,1,B03,Op_A,good,61.93,0.093,0.0,0.0,0.0,0.0,62.2,61.56,0.088,0.093,Pass,Pass,0,0,-0.64,0.005
S100,3,1,B03,Op_A,good,61.86,0.063,0.0,0.0,0.0,0.0,62.3,61.81,0.07,0.043,Pass,Pass,0,0,-0.49,-0.027
S101,3,1,B03,Op_C,borderline,53.5,0.215,0.0,0.0,0.0,0.0,52.97,53.37,0.207,0.157,Fail,Fail,0,0,0.4,-0.05
S102,3,1,B03,Op_C,good,60.27,0.061,0.0,0.0,0.0,0.0,60.71,59.47,0.062,0.041,Pass,Pass,0,0,-1.24,-0.021
S103,3,1,B03,Op_C,failed,50.26,0.189,0.0,0.0,0.0,0.0,50.22,50.55,0.17,0.209,Fail,Fail,0,0,0.33,0.039
S104,3,1,B03,Op_A,borderline,55.31,0.113,0.0,0.0,0.0,0.0,55.74,55.55,0.13,0.042,Pass,Pass,0,0,-0.19,-0.088
S105,3,1,B03,Op_C,good,60.08,0.089,0.0,0.0,0.0,0.0,60.09,60.11,0.099,0.097,Pass,Pass,0,0,0.02,-0.002
S106,3,1,B03,Op_C,good,55.95,0.144,0.0,0.0,0.0,0.0,56.0,56.17,0.14,0.108,Pass,Pass,0,0,0.17,-0.032
S107,3,1,B03,Op_A,failed,49.98,0.212,0.0,0.0,0.0,0.0,50.11,49.7,0.205,0.23,Fail,Fail,0,0,-0.41,0.025
S108,3,1,B03,Op_C,good,59.8,0.15,0.0,0.0,0.0,0.0,59.52,58.75,0.16,0.171,Pass,Pass,0,0,-0.77,0.011
S109,3,2,B03,Op_A,good,57.35,0.074,0.25,-0.01,0.0,0.0,57.77,57.13,0.063,0.059,Pass,Pass,0,0,-0.64,-0.004
S110,3,2,B03,Op_B,failed,51.37,0.173,0.25,-0.01,0.0,0.0,50.98,51.72,0.175,0.158,Fail,Fail,0,0,0.74,-0.017
S111,3,2,B03,Op_C,failed,48.21,0.232,0.25,-0.01,0.0,0.0,48.07,48.57,0.249,0.198,Fail,Fail,0,0,0.5,-0.051
S112,3,2,B03,Op_B,failed,49.3,0.13,0.25,-0.01,0.0,0.0,49.48,49.58,0.118,0.08,Fail,Fail,0,0,0.1,-0.038
S113,3,2,B03,Op_A,borderline,55.84,0.141,0.25,-0.01,0.0,0.0,55.66,56.45,0.147,0.182,Pass,Pass,0,0,0.79,0.035
S114,3,2,B03,Op_C,good,58.17,0.114,0.25,-0.01,0.0,0.0,58.44,58.04,0.119,0.078,Pass,Pass,0,0,-0.4,-0.041
S115,3,2,B03,Op_A,good,60.36,0.11,0.25,-0.01,0.0,0.0,60.84,60.63,0.109,0.147,Pass,Pass,0,0,-0.21,0.038
S116,3,2,B03,Op_B,borderline,52.75,0.131,0.25,-0.01,0.0,0.0,53.1,53.37,0.123,0.095,Fail,Fail,0,0,0.27,-0.028
S117,3,2,B03,Op_A,borderline,56.58,0.083,0.25,-0.01,0.0,0.0,55.9,56.77,0.101,0.089,Pass,Pass,0,0,0.87,-0.012
S118,3,2,B03,Op_C,good,59.04,0.05,0.25,-0.01,0.0,0.0,59.08,58.48,0.041,0.01,Pass,Pass,0,0,-0.6,-0.031
S119,3,2,B03,Op_C,failed,50.64,0.199,0.25,-0.01,0.0,0.0,51.0,50.27,0.172,0.205,Fail,Fail,0,0,-0.73,0.033
S120,3,2,B03,Op_B,good,59.77,0.135,0.25,-0.01,0.0,0.0,59.31,60.56,0.145,0.115,Pass,Pass,0,0,1.25,-0.03
S121,3,3,B03,Op_A,good,60.41,0.106,-0.35,0.015,0.0,0.0,60.66,60.97,0.088,0.112,Pass,Pass,0,0,0.31,0.024
S122,3,3,B03,Op_C,good,57.22,0.105,-0.35,0.015,0.0,0.0,57.45,57.63,0.115,0.138,Pass,Pass,0,0,0.18,0.023
S123,3,3,B03,Op_B,good,59.49,0.055,-0.35,0.015,0.0,0.0,59.07,59.29,0.075,0.056,Pass,Pass,0,0,0.22,-0.019
S124,3,3,B03,Op_C,good,58.51,0.128,-0.35,0.015,0.0,0.0,58.8,57.38,0.137,0.1,Pass,Pass,0,0,-1.42,-0.037
S125,3,3,B03,Op_C,good,56.97,0.09,-0.35,0.015,0.0,0.0,57.07,56.62,0.106,0.128,Pass,Pass,0,0,-0.45,0.022
S126,3,3,B03,Op_A,good,60.98,0.071,-0.35,0.015,0.0,0.0,61.21,61.65,0.101,0.052,Pass,Pass,0,0,0.44,-0.049
S127,3,3,B03,Op_C,borderline,54.15,0.126,-0.35,0.015,0.0,0.0,53.81,54.2,0.141,0.156,Fail,Pass,1,0,0.39,0.015
S128,3,3,B03,Op_A,borderline,54.74,0.134,-0.35,0.015,0.0,0.0,54.79,54.26,0.139,0.178,Pass,Pass,0,0,-0.53,0.039
S129,3,3,B03,Op_C,borderline,54.68,0.117,-0.35,0.015,0.0,0.0,54.08,54.74,0.142,0.121,Pass,Pass,0,0,0.66,-0.021
S130,3,3,B03,Op_B,failed,50.0,0.176,-0.35,0.015,0.0,0.0,49.2,48.82,0.202,0.226,Fail,Fail,0,0,-0.38,0.024
S131,3,3,B03,Op_C,good,62.46,0.063,-0.35,0.015,0.0,0.0,62.51,61.66,0.09,0.092,Pass,Pass,0,0,-0.85,0.002
S132,3,3,B03,Op_A,good,59.43,0.125,-0.35,0.015,0.0,0.0,59.82,58.38,0.118,0.119,Pass,Pass,0,0,-1.44,0.001
S133,3,4,B03,Op_A,failed,48.16,0.22,0.1,0.02,0.0,0.0,48.25,48.57,0.2,0.282,Fail,Fail,0,0,0.32,0.082
S134,3,4,B03,Op_B,good,58.9,0.112,0.1,0.02,0.0,0.0,58.88,59.46,0.104,0.098,Pass,Pass,0,0,0.58,-0.006
S135,3,4,B03,Op_C,failed,51.25,0.18,0.1,0.02,0.0,0.0,51.18,51.25,0.191,0.189,Fail,Fail,0,0,0.07,-0.002
S136,3,4,B03,Op_C,good,60.3,0.161,0.1,0.02,0.0,0.0,59.97,59.83,0.163,0.175,Pass,Pass,0,0,-0.14,0.012
S137,3,4,B03,Op_B,failed,48.87,0.148,0.1,0.02,0.0,0.0,48.79,48.96,0.145,0.186,Fail,Fail,0,0,0.17,0.041
S138,3,4,B03,Op_C,good,60.89,0.056,0.1,0.02,0.0,0.0,61.04,60.67,0.064,0.109,Pass,Pass,0,0,-0.37,0.045
S139,3,4,B03,Op_C,failed,47.86,0.212,0.1,0.02,0.0,0.0,47.71,47.44,0.19,0.264,Fail,Fail,0,0,-0.27,0.074
S140,3,4,B03,Op_A,borderline,55.64,0.191,0.1,0.02,0.0,0.0,55.9,55.96,0.193,0.218,Pass,Pass,0,0,0.06,0.025
S141,3,4,B03,Op_C,failed,48.52,0.178,0.1,0.02,0.0,0.0,48.59,48.13,0.195,0.19,Fail,Fail,0,0,-0.46,-0.005
S142,3,4,B03,Op_C,good,59.16,0.158,0.1,0.02,0.0,0.0,59.27,58.24,0.166,0.123,Pass,Pass,0,0,-1.03,-0.043
S143,3,4,B03,Op_B,borderline,55.56,0.136,0.1,0.02,0.0,0.0,55.87,54.79,0.146,0.117,Pass,Pass,0,0,-1.08,-0.029
S144,3,4,B03,Op_B,failed,50.68,0.149,0.1,0.02,0.0,0.0,50.5,49.74,0.173,0.222,Fail,Fail,0,0,-0.76,0.049
S145,4,1,B04,Op_A,borderline,55.32,0.105,0.0,0.0,0.0,0.0,55.55,55.48,0.104,0.05,Pass,Pass,0,0,-0.07,-0.054
S146,4,1,B04,Op_C,borderline,55.12,0.155,0.0,0.0,0.0,0.0,54.98,55.22,0.145,0.131,Pass,Pass,0,0,0.24,-0.014
S147,4,1,B04,Op_C,borderline,55.79,0.104,0.0,0.0,0.0,0.0,55.91,55.86,0.122,0.138,Pass,Pass,0,0,-0.05,0.016
S148,4,1,B04,Op_C,good,61.09,0.094,0.0,0.0,0.0,0.0,60.86,61.47,0.112,0.1,Pass,Pass,0,0,0.61,-0.012
S149,4,1,B04,Op_A,borderline,54.05,0.192,0.0,0.0,0.0,0.0,53.73,54.82,0.2,0.22,Fail,Pass,1,0,1.09,0.02
S150,4,1,B04,Op_A,borderline,55.13,0.127,0.0,0.0,0.0,0.0,55.16,54.75,0.125,0.143,Pass,Pass,0,0,-0.41,0.018
S151,4,1,B04,Op_B,failed,48.21,0.228,0.0,0.0,0.0,0.0,47.55,48.47,0.228,0.272,Fail,Fail,0,0,0.92,0.044
S152,4,1,B04,Op_A,good,59.41,0.068,0.0,0.0,0.0,0.0,59.31,58.38,0.049,0.077,Pass,Pass,0,0,-0.93,0.028
S153,4,1,B04,Op_C,good,60.73,0.079,0.0,0.0,0.0,0.0,60.17,61.63,0.096,0.099,Pass,Pass,0,0,1.46,0.003
S154,4,1,B04,Op_C,failed,50.7,0.128,0.0,0.0,0.0,0.0,50.97,49.89,0.144,0.106,Fail,Fail,0,0,-1.08,-0.038
S155,4,1,B04,Op_A,failed,51.17,0.168,0.0,0.0,0.0,0.0,51.54,50.71,0.148,0.186,Fail,Fail,0,0,-0.83,0.038
S156,4,1,B04,Op_C,good,59.18,0.13,0.0,0.0,0.0,0.0,58.88,58.79,0.143,0.118,Pass,Pass,0,0,-0.09,-0.025
S157,4,2,B04,Op_C,borderline,55.63,0.135,0.25,-0.01,0.0,0.0,55.78,54.89,0.141,0.111,Pass,Pass,0,0,-0.89,-0.03
S158,4,2,B04,Op_A,good,59.38,0.141,0.25,-0.01,0.0,0.0,59.69,59.65,0.126,0.158,Pass,Pass,0,0,-0.04,0.032
S159,4,2,B04,Op_A,good,58.8,0.087,0.25,-0.01,0.0,0.0,59.12,59.19,0.069,0.104,Pass,Pass,0,0,0.07,0.035
S160,4,2,B04,Op_C,good,60.83,0.101,0.25,-0.01,0.0,0.0,60.91,60.96,0.107,0.142,Pass,Pass,0,0,0.05,0.035
S161,4,2,B04,Op_C,good,57.39,0.104,0.25,-0.01,0.0,0.0,57.65,56.64,0.098,0.143,Pass,Pass,0,0,-1.01,0.045
S162,4,2,B04,Op_C,borderline,55.0,0.148,0.25,-0.01,0.0,0.0,54.77,56.54,0.175,0.166,Pass,Pass,0,0,1.77,-0.009
S163,4,2,B04,Op_B,good,57.94,0.131,0.25,-0.01,0.0,0.0,57.97,58.55,0.145,0.069,Pass,Pass,0,0,0.58,-0.076
S164,4,2,B04,Op_B,failed,52.42,0.174,0.25,-0.01,0.0,0.0,52.26,54.38,0.181,0.219,Fail,Pass,1,0,2.12,0.038
S165,4,2,B04,Op_B,failed,50.11,0.142,0.25,-0.01,0.0,0.0,49.85,49.84,0.15,0.16,Fail,Fail,0,0,-0.01,0.01
S166,4,2,B04,Op_A,borderline,54.63,0.114,0.25,-0.01,0.0,0.0,54.64,55.5,0.134,0.081,Pass,Pass,0,0,0.86,-0.053
S167,4,2,B04,Op_B,borderline,54.91,0.117,0.25,-0.01,0.0,0.0,55.03,55.67,0.13,0.129,Pass,Pass,0,0,0.64,-0.001
S168,4,2,B04,Op_A,good,56.61,0.118,0.25,-0.01,0.0,0.0,57.02,56.67,0.125,0.077,Pass,Pass,0,0,-0.35,-0.048
S169,4,3,B04,Op_A,failed,49.52,0.181,-0.35,0.015,0.0,0.0,49.61,50.09,0.166,0.215,Fail,Fail,0,0,0.48,0.049
S170,4,3,B04,Op_B,borderline,55.54,0.155,-0.35,0.015,0.0,0.0,55.76,54.93,0.201,0.131,Pass,Pass,0,0,-0.83,-0.07
S171,4,3,B04,Op_B,good,60.8,0.069,-0.35,0.015,0.0,0.0,61.03,60.22,0.052,0.06,Pass,Pass,0,0,-0.81,0.008
S172,4,3,B04,Op_B,failed,50.92,0.12,-0.35,0.015,0.0,0.0,51.86,48.31,0.115,0.156,Fail,Fail,0,0,-3.55,0.041
